"","name","FGA","FGM","Pts","exFGM","exPts","FGMDiff","PtsDiff"
"152","Ryan Anderson",727,291,704,297.530139891161,717.770549612094,-6.53013989116135,-13.7705496120939
"153","Perry Jones",184,74,163,80.5235379189518,183.823889735183,-6.52353791895185,-20.8238897351832
"154","Austin Daye",140,50,124,56.4725316836883,138.515149316765,-6.4725316836883,-14.5151493167646
"155","Nicolas Batum",598,240,580,246.287636260869,605.995486125288,-6.28763626086874,-25.9954861252876
"156","Gary Neal",502,189,428,195.227414737389,446.761571288234,-6.22741473738861,-18.7615712882342
"157","Manu Ginobili",585,250,589,256.191466729575,605.206442682298,-6.19146672957476,-16.2064426822984
"158","Jordan Adams",86,35,80,40.8488017667927,90.9297055131609,-5.8488017667927,-10.9297055131609
"159","Lorenzo Brown",122,52,110,57.7551378135852,124.894781888713,-5.75513781358518,-14.8947818887128
"160","Earl Barron",39,12,26,17.6980795345479,37.0095324955266,-5.69807953454785,-11.0095324955266
"161","Jabari Brown",170,70,163,75.6690188606824,172.578019118416,-5.66901886068244,-9.57801911841563
"162","Henry Sims",495,234,472,239.65802629798,487.648416842922,-5.65802629797966,-15.6484168429221
"163","Devin Harris",524,219,533,224.571357705808,543.211246896441,-5.57135770580808,-10.211246896441
"164","Cartier Martin",52,15,36,20.5528837248318,52.9451707903737,-5.55288372483179,-16.9451707903737
"165","Travis Wear",201,79,168,84.5478841412256,179.714032412405,-5.54788414122564,-11.7140324124053
"166","Gal Mekel",20,3,6,8.35104229350559,17.795362865673,-5.35104229350559,-11.795362865673
"167","Erick Green",162,61,136,66.254295645785,148.703842101372,-5.25429564578501,-12.7038421013719
"168","Cole Aldrich",296,142,284,147.22732377625,294.4546475525,-5.22732377625007,-10.4546475525001
"169","Roy Hibbert",708,316,632,321.2084780429,643.120366351042,-5.20847804289951,-11.1203663510419
"170","Devyn Marble",43,14,32,19.1603422282857,46.4238808318302,-5.16034222828575,-14.4238808318302
"171","Shane Larkin",425,187,409,192.0523741851,425.41906761759,-5.05237418509958,-16.4190676175895
"172","PJ Tucker",592,260,607,264.955123182473,623.71239498295,-4.9551231824733,-16.7123949829497
"173","Randy Foye",402,148,390,152.877525884584,396.343330806157,-4.87752588458417,-6.34333080615704
"174","Kyle Lowry",1043,430,992,434.789193118342,1001.31799972015,-4.78919311834198,-9.31799972015199
"175","Chris Douglas-Roberts",21,5,11,9.7514196822314,22.0549646788518,-4.7514196822314,-11.0549646788518
"176","James Young",100,36,89,40.591191147949,104.555980772769,-4.59119114794905,-15.5559807727687
"177","Tyler Johnson",166,70,158,74.5557909952197,166.089094571328,-4.55579099521967,-8.08909457132813
"178","Grant Jerrett",26,7,15,11.516387514352,28.9400448431196,-4.51638751435199,-13.9400448431196
"179","Mike Miller",110,35,100,39.4342736149359,111.508718692992,-4.43427361493588,-11.5087186929925
"180","Kevin Love",938,407,957,411.42941884177,964.460809205039,-4.42941884176992,-7.46080920503925
"181","Ian Clark",53,17,44,21.4207095391301,53.845852973283,-4.42070953913011,-9.84585297328302
"182","Dorell Wright",190,72,185,76.3834554894719,190.049631546854,-4.38345548947193,-5.04963154685362
"183","Taj Gibson",504,254,508,258.277308908829,516.554617817658,-4.27730890882879,-8.55461781765757
"184","Tyler Hansbrough",163,84,169,88.2684675104714,179.243586726036,-4.26846751047141,-10.2435867260355
"185","Reggie Bullock",70,24,63,28.1928758068282,72.991331455175,-4.19287580682824,-9.991331455175
"186","Vander Blue",30,9,20,13.0600135239299,29.6977241464892,-4.06001352392987,-9.69772414648923
"187","Sergey Karasev",132,54,124,57.9865288092039,136.069510277796,-3.98652880920393,-12.0695102777957
"188","Mirza Teletovic",313,122,306,125.965883137143,318.725197723572,-3.96588313714345,-12.7251977235717
"189","Tim Frazier",52,19,43,22.9586307445693,51.8871249139599,-3.95863074456935,-8.88712491395986
"190","Glenn Robinson",67,26,57,29.9422434555886,66.6610234407779,-3.94224345558856,-9.66102344077785
"191","Charles Hayes",46,22,44,25.8667700013814,51.7335400027628,-3.86677000138139,-7.73354000276277
"192","Garrett Temple",170,68,169,71.8482246342807,176.545109293739,-3.84822463428074,-7.54510929373868
"193","Gerald Wallace",34,14,29,17.8414977346832,36.2518721876401,-3.84149773468319,-7.25187218764007
"194","Cameron Bairstow",14,3,6,6.83296464400241,13.6659292880048,-3.83296464400241,-7.66592928800482
"195","Raymond Felton",106,43,96,46.8321069291174,105.53232336648,-3.83210692911742,-9.53232336648027
"196","Dahntay Jones",21,6,12,9.81166286679135,21.0803432821247,-3.81166286679135,-9.08034328212473
"197","Will Cherry",19,5,12,8.74659979512626,20.915151520877,-3.74659979512626,-8.91515152087695
"198","Xavier Henry",13,3,6,6.71198487848705,13.4239697569741,-3.71198487848705,-7.4239697569741
"199","Bernard James",27,12,24,15.6582844996916,31.3165689993831,-3.65828449969155,-7.3165689993831
"200","Miles Plumlee",245,132,264,135.619175688912,271.238351377824,-3.61917568891215,-7.2383513778243
